Species1,Mass,Wing.Length,Tail.Length,Tarsus.Length,Beak.Length_Culmen,Beak.Width,Trophic.Niche,Classificação,Cluster
Accipiter bicolor,287.5,229.6,186.3,58.1,25.0,8.6,1,Não Classificado,1
Elanoides forficatus,416.2,412.8,279.2,33.5,29.4,10.2,1,Insetívoro Grande,2
Rupornis magnirostris,269.0,220.9,159.1,61.5,26.4,10.4,1,Não Classificado,1
Spizaetus ornatus,1197.4,353.0,289.5,93.8,39.1,12.3,1,Não Classificado,2
Spizaetus tyrannus,1007.1,384.4,334.4,80.4,42.3,12.1,1,Não Classificado,2
Antrostomus sericocaudatus,83.0,160.7,122.7,17.6,23.0,6.0,5,Insetívoro Grande,0
Lurocalis semitorquatus,75.9,185.4,83.8,12.7,15.5,4.2,3,Não Classificado,0
Nyctiphrynus ocellatus,39.6,125.4,111.9,15.6,14.2,3.1,5,Insetívoro Pequeno,0
Nyctibius griseus,172.0,256.4,181.8,10.4,28.6,5.1,1,Insetívoro Grande,1
Cariama cristata,1400.0,357.1,296.4,205.8,65.9,14.9,1,Insetívoro Grande,2
Columbina squammata,52.9,95.0,90.7,15.8,15.7,2.8,3,Não Classificado,0
Columbina talpacoti,46.0,86.8,65.8,16.4,14.2,3.1,5,Não Classificado,0
Geotrygon montana,133.9,136.5,76.3,26.9,19.5,3.5,5,Não Classificado,0
Leptotila rufaxilla,157.0,135.5,94.3,27.3,20.3,3.4,1,Não Classificado,1
Leptotila verreauxi,146.9,136.7,102.1,27.7,19.5,3.6,5,Não Classificado,0
Zenaida auriculata,110.2,136.2,92.9,21.0,19.0,3.7,5,Não Classificado,0
Crotophaga ani,110.1,144.0,180.6,35.8,30.6,9.9,1,Não Classificado,1
Guira guira,141.0,173.6,213.8,36.4,30.7,7.5,1,Insetívoro Grande,1
Piaya cayana,102.0,145.5,278.6,34.6,32.0,8.8,1,Insetívoro Grande,1
Tapera naevia,48.4,106.0,146.8,28.0,19.8,5.1,5,Insetívoro Pequeno,0
Falco sparverius,114.6,182.4,126.5,33.7,17.1,8.4,5,Não Classificado,0
Herpetotheres cachinnans,623.6,272.4,219.0,58.9,33.2,12.6,1,Não Classificado,2
Milvago chimachima,315.2,285.9,198.4,49.4,30.5,11.3,1,Não Classificado,1
Penelope obscura,1770.0,309.4,313.5,70.6,34.5,10.2,1,Frugívoro Grande,2
Odontophorus capueira,425.4,146.8,75.0,37.8,21.3,7.6,1,Não Classificado,1
Aramides cajaneus,397.0,178.7,62.8,63.0,51.3,5.3,1,Não Classificado,1
Aramides saracura,540.0,182.0,65.9,71.6,59.3,11.6,1,Não Classificado,1
Conopophaga lineata,25.2,70.0,45.3,28.1,16.4,4.9,5,Insetívoro Pequeno,0
Procnias nudicollis,172.0,148.4,82.6,29.4,27.0,7.1,1,Frugívoro Grande,1
Chamaeza ruficauda,71.2,87.9,74.9,36.2,18.8,5.3,3,Não Classificado,0
Euphonia chlorotica,11.0,56.7,32.9,12.9,9.2,4.1,5,Frugívoro Pequeno,0
Anabazenops fuscus,38.5,91.6,80.0,23.4,25.2,4.6,5,Não Classificado,0
Automolus leucophthalmus,34.5,90.8,82.1,22.7,24.0,4.4,5,Não Classificado,0
Cranioleuca pallida,11.5,61.2,63.2,16.6,15.5,2.6,5,Insetívoro Pequeno,0
Dendrocolaptes platyrostris,61.7,118.9,112.3,25.9,36.4,8.3,5,Não Classificado,0
Furnarius rufus,46.4,95.8,67.4,30.9,23.4,3.9,5,Não Classificado,0
Sclerurus scansor,36.9,88.1,64.5,22.2,25.2,4.2,5,Não Classificado,0
Synallaxis cinerascens,13.1,54.1,65.9,19.5,12.4,2.7,5,Insetívoro Pequeno,0
Synallaxis ruficapilla,13.8,55.9,74.3,20.3,15.3,2.8,5,Insetívoro Pequeno,0
Xenops rutilus,11.2,65.8,49.0,14.3,13.3,2.9,5,Insetívoro Pequeno,0
Xiphocolaptes albicollis,118.0,128.3,119.0,31.3,50.7,7.7,1,Insetívoro Grande,1
Grallaria varia,119.0,119.2,48.9,50.8,28.5,8.3,1,Insetívoro Grande,1
Basileuterus culicivorus,10.5,59.5,53.1,19.5,12.8,4.0,5,Insetívoro Pequeno,0
Chiroxiphia caudata,25.6,75.9,57.8,19.8,13.8,4.0,5,Não Classificado,0
Eleoscytalopus indigoticus,16.2,51.9,35.9,19.6,15.0,3.3,5,Insetívoro Pequeno,0
Batara cinerea,131.0,119.8,165.6,47.0,38.7,8.1,1,Insetívoro Grande,1
Drymophila malura,13.0,55.4,76.7,22.1,14.9,3.3,5,Insetívoro Pequeno,0
Drymophila rubricollis,10.0,52.8,66.1,19.2,14.7,3.9,5,Insetívoro Pequeno,0
Dysithamnus xanthopterus,16.0,61.9,52.7,21.2,17.2,4.3,5,Insetívoro Pequeno,0
Hypoedaleus guttatus,38.8,84.4,97.7,28.2,27.9,8.4,5,Não Classificado,0
Mackenziaena leachii,70.2,89.5,130.4,36.4,25.9,6.1,5,Insetívoro Grande,0
Mackenziaena severa,51.8,91.2,116.2,34.5,26.7,6.2,5,Não Classificado,0
Pyriglena leucoptera,28.8,78.0,75.7,29.7,18.9,4.2,5,Insetívoro Pequeno,0
Rhopias gularis,11.3,51.8,32.5,15.7,15.4,3.3,5,Insetívoro Pequeno,0
Thamnophilus caerulescens,21.1,69.4,62.6,22.6,17.1,4.5,5,Insetívoro Pequeno,0
Coereba flaveola,10.0,54.6,34.1,16.9,13.2,3.6,5,Não Classificado,0
Saltator similis,43.3,99.8,94.0,23.9,20.3,7.9,5,Insetívoro Pequeno,0
Tachyphonus coronatus,29.3,83.9,76.8,21.5,18.5,6.3,5,Insetívoro Pequeno,0
Pachyramphus polychopterus,20.8,72.0,55.7,18.7,14.9,7.0,5,Insetívoro Pequeno,0
Schiffornis virescens,25.6,80.2,64.2,21.4,13.9,3.8,5,Não Classificado,0
Turdus leucomelas,69.1,111.6,92.1,32.4,22.2,5.1,5,Frugívoro Pequeno,0
Turdus rufiventris,69.4,115.5,101.5,33.4,25.2,5.3,5,Não Classificado,0
Cnemotriccus fuscatus,13.6,66.7,62.6,18.3,13.8,5.4,5,Insetívoro Pequeno,0
Leptopogon amaurocephalus,11.7,62.7,55.3,14.5,13.8,3.8,5,Insetívoro Pequeno,0
Megarynchus pitangua,69.9,113.5,85.8,19.2,33.7,13.9,5,Insetívoro Grande,0
Myiodynastes maculatus,43.2,107.9,79.0,19.5,25.6,10.5,5,Não Classificado,0
Phyllomyias fasciatus,10.3,57.2,49.1,15.2,9.8,3.6,5,Insetívoro Pequeno,0
Pitangus sulphuratus,62.9,111.9,84.8,25.8,29.3,10.1,5,Não Classificado,0
Platyrinchus mystaceus,9.7,55.0,29.9,15.6,13.1,7.3,5,Insetívoro Pequeno,0
Poecilotriccus plumbeiceps,5.7,42.5,36.2,18.3,14.0,3.3,5,Insetívoro Pequeno,0
Sirystes sibilator,32.3,93.9,81.2,18.8,22.2,8.2,5,Insetívoro Pequeno,0
Hylatomus lineatus,183.2,185.9,123.6,28.5,41.6,11.0,1,Insetívoro Grande,1
Melanerpes candidus,108.0,157.2,96.5,24.6,34.7,7.7,1,Frugívoro Grande,1
Piculus aurulentus,75.0,118.6,71.2,19.6,25.7,7.1,5,Insetívoro Grande,0
Veniliornis spilogaster,40.3,96.0,53.0,16.2,23.8,5.6,5,Não Classificado,0
Pteroglossus castanotis,258.1,154.4,144.4,35.0,115.9,26.9,1,Frugívoro Grande,1
Brotogeris chiriri,61.6,115.0,89.0,11.3,21.2,8.9,5,Não Classificado,0
Psittacara leucophthalmus,158.0,172.3,145.6,15.4,25.7,16.5,1,Não Classificado,1
Pyrrhura frontalis,72.0,132.5,127.5,12.2,22.8,11.8,5,Não Classificado,0
Megascops choliba,132.0,162.8,91.3,30.0,21.8,7.0,1,Não Classificado,1
Pulsatrix koeniswaldiana,481.0,316.0,192.0,47.1,38.8,9.7,1,Não Classificado,1
Strix hylophila,345.4,242.1,152.0,46.2,27.7,9.9,1,Não Classificado,1
Crypturellus obsoletus,443.4,160.0,54.2,45.9,30.9,5.4,1,Não Classificado,1
Crypturellus tataupa,218.8,123.3,49.4,32.5,24.9,4.8,1,Não Classificado,1
Tinamus solitarius,1386.4,261.5,156.2,73.1,37.9,5.8,1,Não Classificado,2
Trogon rufus,53.8,113.1,130.9,13.1,19.9,8.9,3,Não Classificado,0
Trogon surrucura,73.3,137.5,139.5,15.5,19.4,9.5,3,Não Classificado,0
Trogon viridis,89.7,146.1,158.4,14.2,25.2,10.1,5,Frugívoro Grande,0
